title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
Home Based Payroll Data Entry Clerk Position - Earn $100-$200 Daily ,"GB, ANS, ",null,null,null,"We are a full-service marketing and staffing firm, serving companies ranging from Fortune 100 to new start-up organizations. We work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates.Are you looking for a Work from Home Opportunity where you can earn up to $2500 and more per week? Our Online Service Representative position would be perfect for you!- Set your own hours - Make money every time you decide to work - Work remotely from home - Get paid weekly - If you have a computer with internet, this is for you","RequirementsAll you need is access to the Internet and you can participate. Computer with Internet access, valid email address, good typing skills   ","This is an entry level position and we offer full online training. You do NOT need any special skills to get started.Earn as much as you can doing data entry.  Complete Training provided before you start working and it’s easy to start!  ________________________________________Don’t let this opportunity pass you by.POSITIONS ARE STILL AVAILABLE - GET STARTED RIGHT NOWIf you fit the above description and meet the requirements, please apply stating your locationApply at: #EMAIL_3720fb437cf9ea0fba89dddcb596c3afd772be237f383163a3d18e00e4c65595#",0,0,0,null,null,null,null,null,1
UI Designer,"US, MA, Cambridge",Product,null,"Zaius is a digital intuition platform enabling companies to optimize consumer experiences across channels.  We're poised to make a huge dent in a $20B industry.  Zaius is led by veterans from successful software companies including Endeca, Netezza, and LogMeIn and backed by top-tier venture capital firm Matrix Partners.  ","The Visual UI Designer  takes design seriously and believes that designers have a significant voice at the table in defining any successful digital initiative.  You will play a key role in defining mobile and web interfaces for custom built products and also on top of industry leading platforms such as Jive and Adobe.  You will work closely with clients, project management, and engineering throughout all stages of delivery.  Your title will be commensurate with experience.Essential Duties and ResponsibilitiesLeading visual requirements gathering and competitive researchDevelop innovative visual designs, screen layouts, navigation systems, user interface elements, typography and color palettesCreate clean, effective design solutions for simple or complex user tasksWork in an agile, rapid development and prototyping environment where effective communication is paramountLead and collaborate with interdisciplinary project teams, provide art direction to other designers and work with producers and technologists to implement designs into technology","5+ years professional experience designing outstanding web-based and/or mobile products, sites, or appStrong body of work and online portfolio (this is a must-have) that is impressive on immediate impressionExpert knowledge in UI principles, graphic design principles, and web standardsExperience driving design into a platformComfortable providing rationale for how design solutions support project objectivesAbility to work well cross functionally and make appropriate trade-offs to meet time constraintsExperience collaborating with clients, project managers, and engineers.Skilled in at least two methods of visual UI prototyping, or moreExcellent leadership, communication and teamwork skills.Experience and desire to work within a fast-paced, iterative development environment; experience with Agile a strong plus.Fluency in Adobe Photoshop and/or Fireworks and a solid knowledge of HTML/CSS.Degree in fine arts/graphic design, interaction design, or other relevant experienceLocal to Cambridge/Boston",yes,0,1,0,Full-time,Associate,Bachelor's Degree,Computer Software,Art/Creative,0
CAD Operator,"US, TX, Houston",Engineering,null,null,"Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.We are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the futureAker Solutions is a leading global oil services company that provides engineering and construction services, technology, products and field-life solutions for the oil &amp; gas industryOur Business very much depends on our people; all our major achievements are team efforts. We are looking for dedicated team players who like to be part of a winning team, who meet challenges head on to serve our customers’ needs.MMO based in Aberdeen, have excellent opportunities for talented individuals who can strengthen our team and support our ambitious growth plans within the engineering, construction, maintenance, modification and operations market.We are currently looking for a CAD Operator [ Close-out ]Responsibilities and tasksTo operate computer-aided design (CAD) system and produce clear and technically accurate drawings based on the specification presented.Follows all relevant engineering procedures and instructions to insure that work is carried out in a controlled and consistent mannerFollows day-to-day operations relating to own jobs to ensure continuity of workDrawings and diagrams: Preparation, back-drafting, updating and as-building as per discipline requirements and good engineering practices.Liaise with Close Coordinator Team Lead to provide accurate delivery datesWorks to own initiative to decide best layout solutionsAdapts existing drawings to incorporate project changes demonstrating accuracy and thoroughnessMeets productivity standards and completes work in a timely mannerUnderstand Process, Electrical, Instrumentation diagrams. Ability to use Microsoft Office, Word, Excel.Looks for ways to improve and promote qualityApplies feedback to improve drawing office deliverablesMonitors own work to ensure qualityApplies creative solutions and translates concepts and information onto drawings. Uses intuition, discipline knowledge and experience to modify designsConform to client drawing/document production as covered by PEM and BS EN ISO 9001Understands and utilises the Aker management system (AKIMS) to the required level",Qualifications &amp; personal attributes Educated to HNC level Understanding of the Offshore Oil &amp; Gas Industry. A strong understanding of the capabilities of the key engineering systems &amp; tools in operation within the design office. A strong understanding and skill level of CAD Demonstrable experience within a similar environment / industry. Demonstrable experience of computer-aided design systems.,We offer• Friendly colleagues in an industry with a bright future.• An environment where you are encouraged to develop your skills and share your knowledge with your colleagues.• Competitive benefits and strong focus on work-life balance.,0,0,0,null,null,null,Construction,Design,1
HR Manager,"US, OH, Cleveland",null,null,"We Provide Full Time Permanent Positions for many medium to large US companies. We are interested in finding/recruiting high quality candidates in IT, Engineering, Manufacturing and other highly technical and non-technical jobs.","(We have more than 1500+ Job openings in our website and some of them are relevant to this job. Feel free to search it in the website and apply directly. Just Click the “Apply Now” and you will redirect to our main website where you can search for the other jobs.)HR Manager :Job Description :*Job DescriptionSeamless execution of a full range of duties aligned to leadership &amp; management development of employees to ensure their performance meets and/or exceeds both business and personal goals/objectives ie: coaching &amp; mentoring, on-boarding &amp; performance managementDeploy HR Strategy, objectives and KPI’s into country/ region/ function and/or client groupDeliver global concepts, processes, tools and solutions to analyse and define local organizational needs and issues, surfacing them to the Business Partner function when relevant to do soWork within and deliver to agreed HR Service Level Agreements for business area• Contribute to the development of local/regional/global HR policies which are aligned to business goals and local legislative requirements• Analyse HR data for business area to identify opportunities for improvement and implement solutions to enhance service quality and cost effectiveness ie: Labour Turnover trends, absence managementIdentify training needs within business area and work with L&amp;D to ensure availability of employee development which is aligned to functional and organizational objectives• Educate business area to drive employee support requirements through self-service and • Collaborate with other HR Operations Partners to ensure local/regional/global coordination, consistency and cultural sensitivity in the delivery of all HR related activitiesQualifications : Bachelors Degree, MBA is good to have but not essential8-10 yrs experience",null,null,0,0,0,Full-time,null,null,Human Resources,null,0
Customer Service Representative,"US, TX, DALLAS",CALL CENTER,26000-32000,"As the industry’s largest supply contracting company, Novation serves the purchasing needs of more than 65,000 VHA, UHC and Provista member organizations and their affilliates. Novation delivers unmatched supply savings and value through its sourcing services, as well as information and data services. Through its affiliation with VHA, UHC and Provista, Novation represents the largest purchasing volume in the industry more than $40 billion in annual purchases.To help our alliance members meet the needs of their communities, our mission is to deliver to them unmatched savings and value. One of the ways we deliver on our mission is by facilitating the introduction of products and services that are designed to help members drive sustainable results, improve quality and reduce costs.","Being part of the NOVATION team means opportunities for bonuses on top of an hourly wage, medical benefits, 401(k) retirement savings, tuition reimbursement and room for advancement.NOVATION now offers full-time and part-time training and work schedules.In this entry level role, you will be fully trained to perform the following duties:Build and maintain rapport with customersIdentify customer product and/or service needs Review and update activity on accounts Provide basic technical supportPromote and sell products and servicesAttend training to update product knowledge","Dedicated people who enjoy helping othersHigh school diploma, GED or higher6 months to 1 year of customer service experience in a service related industry preferred (contact call center, retail, food service, telecommunications, etc.) Computer proficiency, including web navigationStrong communication skillsAdaptable to changing situationsYou must be at least 18 years old to apply and pass drug screen, criminal background check, and comprehensive assessments during and after training. NOVATION is an equal opportunity employer. ","Being part of the NOVATION team means opportunities for bonuses on top of an hourly wage, medical benefits, 401(k) retirement savings, tuition reimbursement and room for advancement.",0,1,1,Full-time,Entry level,High School or equivalent,Retail,Customer Service,1
Process Safety Engineer,"US, CA, Bakersfield",Oil & Energy,null,"Process Unlimited and Refined Resources have partnered up in an effort to streamline the hiring process and provide a more efficient and effective recruitng model.  Our focus is to help develop and achieve your career goals while makeing a solid geographical, cultural and professional fiit when leveraging your career into your new and exciting professional venture!Please direct all communications to the HR Department within Refined Resources (#URL_481fc4262f0c07ace903481f1e036034d0bf128e0a91a2313344f34a26bca732#a).  #EMAIL_0b13a2cfd4718ce252c09b2353d692a73bd32552e922c5db6cad5fb7e9a2c6c3#Darren Lawson | VP of Recruiting | #EMAIL_395225df8eed70288fc67310349d63d49d5f2ca6bc14dbb5dcbf9296069ad88c# | #PHONE_70128aad0c118273b0c2198a08d528591b932924e165b6a8d1272a6f9e2763d1#","We are a full-service engineering, project management, design and safety regulatory firm providing a wide array of services to support our client's specific project needs.Essential Duties and Responsibilities:* Interface with client and consult and make recommendations in regard to Process Safety Management implementation.* Facilitate Hazard and Operability analysis, what-if, checklist evaluation.* Develop operating procedures. * Coordinate compliance with PSI requirements.* Facilitate MOC, PSSR process.* Perform Safety objective analysis (SOA). ","Qualifications:Knowledge of Oil/Gas Processes including upstream/midstream processes.Experience with facilitating PHA and HAZOP sessions. * Knowledge and experience implementing Process Safety Management regulations in oil/gas. industry including PHA, PSI, MOC, PSSR, SOA, SOP's. Experience Preferred:Experience in process engineering: simulations, PFD's, P&amp;ID's, equipment specification, sizing, and data sheets. Familiarity with applicable codes like ASME, API, ANSI, NACE, OSHA, etc. Possess a minimum of Bachelor's Degree in Chemical or Mechanical Engineering from an accredited university.","* Clean, safe, enjoyable environment to work in with a great company culture that values work/life balance.* Competitive base rate + Incentives + Full Benefits Package + Retirement 401K 100% matched by company.* Relocation Assistance.* Signing Bonus.* Opportunity for Advancement.* Trips, outings, rafting trips, lunches, client appreciation get-togethers, company parties, great people, great culture!",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Oil & Energy,Other,1
Administrative Assistant ,"US, TX, Houston",null,null,null,"Why Choose AECOM? Imagine working for a truly global company whose 45,000 employees share a singular passion: to make the world a better place. We enjoy what we do at AECOM. We bring projects to life in the cities and communities in which we work, and we’re driven by a set of values and a common purpose — to create, enhance and sustain the world’s built, natural and social environments. Innovation is built into every project we manage and every community we serve. We’ll provide you support in an environment that allows you to grow and succeed. Come share your passion with us.About the Business Line Government ServicesWe have the international presence, personnel networks and procurement infrastructure to deliver support for any mission, anywhere. We optimize the reliability, availability and sustainability of equipment, logistics systems and facilities for clients around the world. AECOM Government Services supports the U.S. federal government with worldwide program management, planning, design, operations and maintenance, logistics, aviation services, security, international development, environmental and civil engineering and mission and intelligence support.Job Summary:AECOM has been awarded a contract to provide Staffing/Personnel Services associated with ongoing Sadara Chemical Company (Sadara) projects in the U.S. and various countries overseas. This contract includes a broad span of labor resource categories including technical, engineering, administrative and business services, health safety &amp; environment (HSE), QA/QC, maintenance and operations support, and many others.Has office experience and assists the administrator in providing administrative support to the Company Rep. Assists with thepreparation of technical and management presentations. Assists in compilation of various project status reports. Creates and maintains a filing record system to keep material and procedures up to date. Perform other related duties as requested. Must have knowledge of administrative procedures and guidelines.What We Offer: AECOM is a place where you can put your innovative thinking and business skills into high gear and work alongside other highly intelligent and motivated people. It's a place where you can apply your skills to some of the world's most challenging, interesting, and meaningful projects worldwide. It's a place that values the diversity of our areas of practice and our people. It's what makes AECOM a great place to work and grow. AECOM is an Equal Opportunity Employer.",null,null,0,0,0,Full-time,Entry level,Bachelor's Degree,Oil & Energy,Administrative,1
C# Developer,"LT, VL, Vilnius",Research,null,null,"Adform is the best resourced European display ad tech company, with around 400 people in 15 European countries and US. We offer a leading platform focused on programmatic advertising with key competences in ad serving, optimization, data management and rich media. Our platform is built on proprietary technology and is constantly updated with new industry leading features.Adform's Real-time bidding system operates at a big scale and grows rapidly: from 0 qps two years ago to 200K qps today. Building and improving such system requires a broad range of engineering skills. Our developers work with a diverse set of technologies: .Net, Scala, C#, JavaScript, Cassandra, Aerospike, Hadoop, Puppet - to name a few.In Real-time bidding products program we are working on a company's strategic and core product: Demand-side platform, Private marketplace, Adserving, Dynamic content optimizations, Bidding optimization pipline.Currently we are starting to build a new offerring so we are strengthening our development team and we are looking for brilliant mind developer (regular or higher) to join our team and help to overcome challenges.What are you going to do?You will be working closely with Demand-side Platform development &amp; researchs team to make things smarter.","Do you have these skills?.Net, C#RESTful Web Services, RabbitMQAgile Software development (Scrum/ Kanban)? If so, let's have a chat!",null,0,1,0,Full-time,null,null,Information Technology and Services,Research,0
Executive Chef,null,1221,75000-80000,null,"Responsible for all food production including that used for restaurants, banquetfunctions and other outlets. Develop menus, food purchase specifications andrecipes. Supervise staff. Develop and monitorfood and labor budget for the department. Maintain highest professional food qualityand sanitation standards.Duties &amp; Responsibilities:* Plans menus for all food outlets in the Hotel. * Schedules and coordinates the work of chefs, cooks and other kitchen employeesto assure that food preparationis economical and technically correct and within budgetedlabor cost goals. * Approves the requisition of products and other necessary food supplies. * Ensures that high standards of sanitation, cleanliness and safety aremaintained throughout all kitchen areas at all times. * Establishes controls to minimize food and supply waste and theft. * Safeguards all food preparation employees by implementing training to increase their knowledge about safety, sanitation and accident preventionprinciples. * Develops standard recipes and techniques for food preparation and presentationwhich help to assure consistently high quality and to minimize food costs;exercises portion control for all items served and assists in establishing menuselling prices. * Prepares necessary data for applicable parts of the budget; projects annualfood, labor and other costs and monitors actual financial results; takescorrective action as necessary to help assure that financial goals are met. * Attends food and beverage staff and management meetings. * Consults with the Food &amp; Beverage Director about food production aspects ofspecial events being planned. * Cooks or directly supervises the cooking of items that require skillfulpreparation. * Ensures proper staffing for maximum productivity and high standards ofquality; controls food and payroll costs to achieve maximum profitability. * Evaluates food products to assure that quality standards are consistentlyattained. * Interacts with food and beverage ma nagement to assure that food productionconsistently exceeds the expectations of members and guests. * In conjunction with F&amp;B management team, assist in maintaining a high level ofservice principles in accordance with established standards.","* Must have a passion and love for food* Excellent communication skills both written and oral* Public relations skills* Excellent management and organizational skills* Works well under pressure* Good attention to detailExperience:Previous experience with control food and labor cost, demonstration cooking, menudevelopment, and pricing and development of culinary team preferred. Premise andliability accountability and contract-managed service experience is desirable.Education:The ideal candidates will possess a bachelor's degree or related culinary degreewith four or more years of industry and culinary management experience.",null,0,0,0,Contract,null,null,Hospitality,null,1
Senior System Engineering Manager ,"US, CA, San Jose",Engineering,null,"Aptitude Staffing Solutions has redesigned the recruiting wheel. Our innovative new platform cuts the recruiting time in half, yields scientifically-proven results and clients and candidates enjoy a pleasant experience through advanced, simple to use technology and a tenured, industry-experienced recruiting team. Join us in a fresh new experience of leveraging your career...the way it should be! All represented candidates enjoy the following perks:Expert negotiations, maximizing total compensation package Signing bonus by Aptitude Staffing in addition to client signing bonus (if applicable)1 Year access to AnyPerkRelocation Services for out of town candidatesContinued education in your area of profession, seminars, workshops and other skill development events Contract employees receive quarterly bonuses for the duration of their project Direct-Hire employees receive double bonues ($2,000) per referred/recruited candidate into their newly appointed companyAll candidates are encouraged to participate in our Referral Bonus Program &amp; earn $500 - $1,000 per hired referral            ","Senior System Engineering Manager San Jose, CA  SUMMARY:The Sr. Systems Engineering Manager is responsible for defining product system architecture including chipset selection, HW architecture, HW/FW split, system memory requirements, and SW architecture for all Service Provider Business Unit products. This will include developing and maintaining products functional specifications, technical presentations, RFP responses, and technical articles (white papers, case studies, and trade pub article placements). The systems architect works closely with Product Line Managers (PLMs), R&amp;D, HW &amp; Software development teams, and ODM partners to ensure all key aspects of the systems architecture are addressed and implemented for success of the product line.","ESSENTIAL DUTIES AND RESPONSIBILITIES:Review product #URL_842c04e8abf323f33c1d9d1a5aaaf69d4949319a424a2f6783dc42e9280d1072# define system architecture to meet the requirementsWill be the owner of product system definition for all SPBU products.Will participate in technical discussions with customer to present strengths of product architecture.Review all new designs and implementations to ensure minimal deviation from existing architecture.Defines, constantly reviews, and differentiates the feature sets of the entire product line and individual products active in the product life cycle.Provide input for developing compelling and comprehensive product collateral to support SPBU Marketing and Sales teams for pre-sales and post-sales activities. Collateral includes Datasheets, Product Briefs / Slicks, White Papers, Case Studies, Product Presentations, and when needed, Videos.Takes the role as internal expert as well as external spokesperson and evangelist for SPBU Products architecture.Working closely with the software team, help develop a strong patent portfolio.Provide technical leadership in responding to RFIs and RFPs.Take high level feature requirements from marketing teams and customers and write detailed feature specifications and system architecture for the software team.Work closely with partners to define architecture and testable requirements for taking new products and features to market.QUALIFICATIONS: Strong technical background with prior experience working with Service Providers in the Telco, Cable and/or Mobile space.Must have the ability to transform abstract concepts into a concise, clear, and structured requirment documents including presentations and technical briefs.Ability to take a new technical standard, understand and translate detailed system architecture.Strong understanding of networking and consumer electronics, technology and products related to product line.Good interpersonal skills and able to work well with people from all regions, at all technical and management levels.Mature communication with partners, peers, and managers. Skillful verbal and writing abilities and effective presentation skills.Five to seven years of system architecture in telecom and networking experience with demonstrated knowledge of technology, industry, and branding.Thorough understanding of the service provider market is a must.Demonstrated leadership skills to focus internal resources, coordinate R&amp;D, and coordinate business partners.Past background in system development including HW and SW is a must.B.S. in Computer Science or Electrical Engineering.","What Is Offered:Very competitive base salary.30% bonus structure, guaranteed annually.Significant stake in equity/stock optionsFull benefits package along with many perksOpportunity for Executive-level advancement and career leverageWorld renowned leadership, mentorship, and a very attractive culture/work environmentRelocation assistence if neededSigning bonus through placement agency Unique and attractive company culture and environment Highly visable products, leading technologies and recognition Global environment, global product stage in a fast-paced, start-up environment We are currently under contract with our client in attracting, engaging and initiating the hiring process. We are working directly with the hirng manager for this role and welcome the opportunity to discuss your candidacy with you.  Thank you for your time and consideration.  We look forward to hearing from you.  Please direct resumes, questions and inqueries to Darren Lawson | VP of Recruiting | #EMAIL_f4da338e899ddba983ac771b001681d1d2d93b3327ddc420a15f4e5a310071a9# | #PHONE_90d33c9d7ec1484aebfe37b153d677decc6f5f53b316489ed24061544c04eb66#                                                                                 ",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Computer Networking,Engineering,1
"Sr. Android Software Engineer - Agile SCRUM ARM - Fairfax, VA","US, VA, Fairfax",null,null,"We Provide Full Time Permanent Positions for many medium to large US companies. We are interested in finding/recruiting high quality candidates in IT, Engineering, Manufacturing and other highly technical and non-technical jobs."," Experienced Sr. Android Software Engineer is required having responsibility for Develop techniques to harden existing OEM operating system images, including SE policy Job Responsibilities: Perform security research to identify and address platform vulnerabilitiesDevelop and deploy a secure Android platform for mobile applicationsDevelop techniques to harden existing OEM operating system images, including SE policyWork with customers and partners to identify and address vulnerabilities in existing productsAuthor and present research results, inform product development teamsEvaluate and report on emerging technology and its applicationIntegrate threat detection technologies into trusted OS","Minimum 8 years professional experience.Minimum 2 years experience developing software for mobile devices, embedded systems, or equivalentExperience with mobile application development on AndroidAbility to profile and debug code modules using software and hardware based instrumentationStrong research and development practices including documentation and use of source code management toolsExperience working in an Agile SCRUM environmentLow level coding experience with ARM and Intel processor architecturesExperience with hardware support for virtualizationKnowledge of secure operating systems and fundamentals of SE policyUnderstanding of the mobile hardware platform and device driversExperience developing for resource constrained platformsUnderstanding of IP networking and wireless protocolsUnderstanding of Trusted Execution Environment (TEE) and trusted boot is highly desirableAn understanding of digital forensic techniques is highly desirableEducational Qualifications:Bachelor’s Degree or equivalent experienceMasters of Science in EE, CS, or CE preferredWe Provide Full Time Permanent Positions for many medium to large US companies. We have more than 1500 jobs available in our website. Our website has thousands of openings and these job openings are not posted anywhere else online. When you apply online through our website, it automatically forwards your information to the recruiter handling your applied job. If you are a close match, they will contact you immediately to discuss about the positions and do everything to get you an interview with the client as quickly as possible. Visit  : #URL_ec64af2b4fe2ca316e828f93b0cd098c22f8beba98dcac09d4dd7384b221a5e8#-#URL_9753a54b28303bf636a2816399b9c255d76fabb791336a4c748da2611a23264f# ",null,0,0,0,Full-time,null,null,Computer Software,null,0
Technician Instrument & Controls,"US, TX, Deweyville",Maintenance,null,null,"Technician Instrument &amp; ControlsLocation Deweyville, TXCategory: MaintenanceType: Full Time Hourly# Openings: 1Details About this Career Opportunity:Overview:Company Profile:We deliver cleaner and smarter energy choices for our customers, backed by the nation’s largest independent power generation portfolio of fossil fuel, nuclear, solar and wind facilities. A Fortune 500 company is challenging the U.S. energy industry by becoming the largest developer of solar power, building the first privately-funded electric vehicle charging infrastructure, and providing customers with the most advanced smart energy solutions to better manage their energy use. In addition to 47,000 megawatts of generation capacity, enough to supply nearly 40 million homes, our retail electricity providers serve more than two million customers.GENERAL SUMMARYThe Instrumentation Controls and Electrical Technician (IC&amp;E) is responsible for the maintenance and repair of all instruments, control systems and electrical equipment in the power plant and the associated facilities. The IC&amp;E Technician performs work of high skill in the inspection repair, testing, adjustment, installation and removal of all electronic and electrical power plant equipment and systems.PRIMARY FUNCTIONS- Safely perform preventive and corrective maintenance on all plant equipment, systems, and emergency backup systems.- Maintain complete equipment files, logs, and drawings for all designated equipment.- Assist in maintaining and controlling spare parts inventory to maintain plant reliability. Assist in physical inventories.- Participate in the administrative maintenance of the plant operating manuals, technical references, prints and diagrams and preventive/predictive maintenance records.- Inspect repair, install and remove all types of motors, generators, transformers, switches, control equipment, wiring, electrical signal and communication systems, and storage batteries, and work with electrical systems up to and including 4160 volts.- Conduct trouble shooting and analysis on DCS, PLC and GE Mark VI turbine control equipment.- Maintain all plant instrumentation and electrical test equipment.- Fully support and participate in NAES Safety and Regulatory Compliance Programs.- Complete other tasks as assigned by the Maintenance Manager or the Plant Manager.SCOPE OF RESPONSIBILITYThe IC&amp;E Technician operates from established and well-known procedures under minimum supervision, performing duties independently with only general direction given. Decisions are made within prescribed operating and casualty procedures and guidelines. The ICE Technician encounters recurring work situations of high complexity, with occasional variations from the norm.The IC&amp;E Technician must perform work in a safe manner resulting in no accidents, in compliance with all environmental permits at all times. The ICE Technician must effectively communicate information to supervision and fellow plant personnel, relative to the condition of the plant equipment and performance, and provide suggestions for plant improvements. The ICE Technician must perform duties in such a way to result in an optimum cost-benefit ratio.The IC&amp;E Technician may also be assigned the additional responsibility of Maintenance Coordinator/Planner for the site. This is a collateral assignment given to a selected maintenance department technician to assist the Operations and Maintenance Manager with the routine planning and coordination of the site equipment maintenance.The duties include:- The planning and review of the preventative, predictive and pro-active type maintenance.- A more in-depth knowledge and ability to use the CMMS system to provide the necessary review and planning to support the O&amp;M Manager in weekly work routines.- Ability to provide the cognitive coordinated efforts necessary to ensure that weekly routines and preventative maintenance are scheduled and documented as complete when the respective maintenance technician indicates that the work has been performed.- Provide the coordination efforts necessary in support of allowing the O&amp;M Manager to provide the necessary supervision and direction of the maintenance technicians.All employees have the responsibility to both the customer and their co-workers to do the job right the first time and to ensure the customers' needs are being met.","JOB QUALIFICATIONS- Ability to understand procedures and instructions specific to the area of assignment as would be acquired in four years of high school.- Graduation from an accredited Instrument Technician Program and minimum two years’ work experience as a technician in a related industry desirable.- Four years work experience as a technician with increasing responsibility in a related industry may be substituted for the above requirement.- Experience in working with voltages up to 4160 volts highly desirable.- Must have excellent oral and written communication skills. Ability to work well with others and be self-directed, as well as apply creative solutions to unique I&amp;E problems is desirable.- Must be able to work from blueprints.- Must be skilled in the use of hand and power driven tools.- Must be proficient in computers and computer software such as MS Office, Excel, and Word; Networking, hardware, and current security requirements for NERC Compliance.Qualifications:Title/Salary Commensurate on ExperienceOfficial description on file with Human Resources","we are a team of almost 8,000 employees who help power almost 40 million homes and have more than 2 million residential and business customers across the country. Together, we are powering progress every day—from California to Texas and New Jersey to Arizona.Compensation will be determined at a competitive rate and based off your level of experience and aptitude to grow with the company and department.  Please inquire about detailed benefits package information and other compensation package components.  Qualified candidates please apply to this opportunity directly.  Please direct all correspondence to Darren Lawson VP of Recruiting at #EMAIL_395225df8eed70288fc67310349d63d49d5f2ca6bc14dbb5dcbf9296069ad88c# | #PHONE_70128aad0c118273b0c2198a08d528591b932924e165b6a8d1272a6f9e2763d1# ",0,0,1,Full-time,Mid-Senior level,Certification,Electrical/Electronic Manufacturing,Other,1
cashier,"US, MA, PITTSFIELD",sales,null,null,i need full or part time help...This is bp south st gas station .Exprience require .must work weekend .,Gas station Experience ,null,0,0,0,Full-time,Associate,null,Retail,null,0
Webcam Model,null,null,null,null,"Internet Modeling is a premier adult modeling agency recruiting and hiring webcam models for high paying webcam jobs.We are one of the oldest and most experienced online modeling agencies, representing webcam models since 1998. Our agency recruits for the largest network of adult websites such as #URL_7c618854292c1f4fe07b7bc848323c068e2d9c12d58c214d9120a1d491e9971c# and many others, with over five million visitors per day, so our cam models make the most money. We have many immediate webcam job openings for all types of camgirls and camguys, so you can become a webcam model, and start to make money webcam modeling in as little as a few days. Being a webcam model is one of the few jobs where you can make great money from the comfort of your own home while having fun!#URL_11ac604d942dee77d69c63d9e052daaf0b2cf204ec8484d5fd3ef2f998114c2f#","In order to be considered for a webcam model position, you MUST: - Be an attractive female or male over the age of 18 with a private place to work. - Be friendly, open minded, and feel comfortable in front of the camera. - Have a scanned image of a valid Driver's License, Passport, or other legal proof of age. - Have a computer with a P4 dual core or higher processor, and at least 1GB of RAM. - Have a high speed broadband Internet connection. - Have a good quality WEBCAM and MICROPHONE","We provide the following benefits to all our webcam models:- Earn from $0.80/minute up to 70% of your gross earnings paid weekly with no minimums. - 70% lifetime revenue share paid weekly for recording or uploading videos for sale. - Weekly bonus of up to 30%, so if you make $2,000 your net pay would be $2,600. - Work on one of the largest webcam networks with over 5 million visitors per day. - Advanced HD streaming technology with the best video and audio quality available. - Ability for models to accept private phone calls from clients during paid webcam shows. - The ability to work any hours you choose from any location with high speed Internet. - Absolutely no chargebacks or deductions, so models are paid for each valid private chat. - Models can block visitors by Country, City and State, and set up to 5 blocked areas. - Personal support rep that models can contact via email, Skype, or toll free phone. - Training from experienced webcam models for qualified new hires who request it. - Assistance in getting front page placement on our network of websites. - Weekly earnings payments by check, direct deposit, Payza, Payoneer, or Paxum. - No payment delay, so you get your money within 1 week of earning it. - No payroll or payout fees of any kind, so you receive the amount you earn. - Year end 1099 earnings statements for U.S. based models (issued and sent by us). - Private delivery address for gifts sent by clients (received and forwarded by us). - Anonymous email address to give out to clients for private messages. - Separate #URL_754e3a19fe90ffc5b0d770dae56b2206b3df7f4b2a5e008013c4b59036d3a065# search engine friendly short URL for each model. - Start working immediately after your application is approved. - The ability to earn commission for any new models you refer to us.Bonus Structure   Weekly Earnings Bonus Rate Bonus Pay Total Pay   $500 - $999 10% $50 - $99.90 $550 - $1,098.90   $1,000 - $1,999 20% $200 - $399.80 $1,200 - $2,398.80   $2,000 or more 30% $600 or more $2,600 or more    We never charge our models any fees, and do not ask for your credit card number at any time. All personal identity information you submit is kept strictly confidential.",0,0,1,null,null,null,null,null,1
Area Manager,"US, CA, Orange",Sales,null,"Solar electricity is the way of the future!  We are focused on bringing solar to homeowners in a simple solution with no up-front cost to the customer.  We are looking for talented and driven people to join our team and take their careers to the next level while growing our business into a national leader in solar energy development.  Our culture is a fast paced, high growth, work hard, play hard environment that encourages collaboration.","Your brighter future starts today. Suncrest is looking for driven Sales Representatives/Area Managers to engage homeowners for our solar program. You will be responsible for growing sales in your office and contributing to your team’s overall goals. Our Sales teams are made of high energy, highly driven reps with a passion for our mission – saving homeowners money and saving our planet’s natural resources. We are looking for motivated individuals who will add to our team.","Knowledge and understanding of Suncrest’s systems and offeringsGain customers through direct marketingConstantly build sales and sales pipeline through referrals and direct selling effortsMaintain customer relationships to ensure top customer satisfactionAdd to office team with high energy, drive, and motivation to succeed ","Top industry commissionsPaid training bonusesEligibility for equity poolFun, fast-paced cultureFull benefits (after 90 days of contracting)Quick advancement opportunities",0,1,0,Contract,Entry level,null,Utilities,Sales,0
